ticker,sector,horizon,h_days,early_stopping,epochs,always_up_acc,naive_RMSE,naive_MAPE,naive_DirAcc,linreg_RMSE,linreg_MAPE,linreg_DirAcc,lstm_RMSE,lstm_MAPE,lstm_DirAcc
BAJFINANCE.NS,Banking & Financial Services,next_month,21,True,32,45.5,78.58960711171747,6.638307399829935,0.0,249.4285205649978,25.12564017174655,54.54545454545454,71.09257720137484,5.686876446264211,67.04545454545455
AXISBANK.NS,Banking & Financial Services,next_month,21,True,11,68.8,84.08533723111505,5.436110246383894,0.0,78.19809711744158,5.284566000216132,50.56818181818182,88.51913816902248,5.934568741133184,31.25
KOTAKBANK.NS,Banking & Financial Services,next_month,21,True,19,56.2,22.4169565395638,4.173083471431576,0.0,41.44083543600536,8.790754015778276,43.75,29.339440195160606,6.371961200570837,56.81818181818182
BAJAJFINSV.NS,Banking & Financial Services,next_month,21,True,11,41.5,124.35934625217624,4.884922505454159,0.0,262.29058816898385,12.025043417883886,58.52272727272727,134.93977364821828,5.926725655066174,58.52272727272727
SHRIRAMFIN.NS,Banking & Financial Services,next_month,21,True,11,72.2,99.11390795132314,9.186143958815812,0.0,90.98164233289606,8.199619472221062,72.1590909090909,102.43717027982088,9.319932880668178,40.340909090909086
SBILIFE.NS,Banking & Financial Services,next_month,21,True,11,50.6,101.32964600609905,4.0892892401205545,0.0,146.26732702584292,6.557893446645843,47.159090909090914,181.17872460411445,8.061480356402265,49.43181818181818
JIOFIN.NS,Banking & Financial Services,next_month,21,True,11,38.8,15.128588097748478,4.843138734758382,0.0,24.601605132797474,8.561645306392387,42.857142857142854,30.889180949066873,11.175385570094429,39.795918367346935
RELIANCE.NS,Energy,next_month,21,True,12,42.6,77.79589682441822,4.404382221085552,0.0,78.20316262643904,4.152958430946014,63.06818181818182,89.15916584490274,4.751596448897462,54.54545454545454
ADANIPOWER.NS,Energy,next_month,21,True,11,58.5,23.659449810631322,8.230705672675773,1.1363636363636365,48.28790052538036,16.033948949836372,45.45454545454545,23.476637370665895,9.069124799856825,56.25
NTPC.NS,Energy,next_month,21,True,14,49.4,20.950112368280404,4.759813311424796,0.0,21.79683435610732,4.962143763793221,53.40909090909091,26.506285478078706,5.910418093278391,56.25
